league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_passing,pos_passing,age_passing,born_passing,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected_shooting xG,Expected_shooting npxG,Expected_shooting G-xG,Expected_shooting np:G-xG,stat_type_shooting,nation_possession,pos_possession,age_possession,born_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_misc,pos_misc,age_misc,born_misc,Performance_misc CrdY,Performance_misc CrdR,Performance_misc 2CrdY,Performance_misc Fls,Performance_misc Fld,Performance_misc Off,Performance_misc Crs,Performance_misc Int,Performance_misc TklW,Performance_misc PKwon,Performance_misc PKcon,Performance_misc OG,Performance_misc Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc
ENG-Premier League,2020,Tottenham,Davinson Sánchez,COL,DF,24.0,1996.0,18,17,1486,16.5,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,2,36,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,standard,COL,DF,24.0,1996.0,16.5,868,1027,84.5,16505,5026,292,327,89.3,497,543,91.5,65,123,0,0.0,0.1,0.0,1,18,1,0,36,passing,COL,DF,24.0,1996.0,0,5,0,0.3,0.0,0,0,0,0.8,0.8,-0.8,-0.8,shooting,COL,DF,24.0,1996.0,1210,171,683,517,12,8,1210,1,1,0,729,3356,1680,2,2,0,7,3,809,0,possession,COL,DF,24.0,1996.0,40,20,31,9,0,21,32,11,18,13,5,14,54,85,2,defense,COL,DF,24.0,1996.0,1,0,0,22,8,0,0,14,20,0,3,1,74,49,32,misc
ENG-Premier League,2020,Brighton,Davy Pröpper,NED,MF,28.0,1991.0,7,2,213,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,14,8,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,standard,NED,MF,28.0,1991.0,2.4,70,96,72.9,1134,372,37,51,72.5,25,32,78.1,5,6,0,0.0,0.2,0.0,0,5,5,0,14,passing,NED,MF,28.0,1991.0,0,4,2,1.69,0.85,0,0,0,0.2,0.2,-0.2,-0.2,shooting,NED,MF,28.0,1991.0,114,2,13,74,29,3,114,3,2,1,83,445,166,4,6,0,2,5,88,8,possession,NED,MF,28.0,1991.0,6,5,0,6,0,2,5,3,3,0,3,1,7,0,0,defense,NED,MF,28.0,1991.0,0,0,0,1,0,0,3,1,5,0,0,0,15,3,4,misc
ENG-Premier League,2020,Manchester Utd,Daniel James,WAL,FW,22.0,1997.0,15,11,910,10.1,3,1,4,3,0,0,3,0,2.2,2.2,0.9,3.1,36,32,84,0.3,0.1,0.4,0.3,0.4,0.22,0.09,0.31,0.22,0.31,standard,WAL,FW,22.0,1997.0,10.1,238,312,76.3,2956,698,148,176,84.1,66,85,77.6,4,7,1,0.9,0.8,0.1,10,8,13,2,32,passing,WAL,FW,22.0,1997.0,3,17,6,1.68,0.59,0,0,0,2.2,2.2,0.8,0.8,shooting,WAL,FW,22.0,1997.0,426,8,55,160,220,36,426,23,11,12,245,1810,1059,36,23,7,21,9,304,84,possession,WAL,FW,22.0,1997.0,15,9,4,7,4,3,18,15,10,1,9,0,15,6,0,defense,WAL,FW,22.0,1997.0,3,0,0,14,14,4,20,0,9,0,0,0,45,5,15,misc
ENG-Premier League,2020,Sheffield Utd,Daniel Jebbison,ENG,FW,16.0,2003.0,4,3,284,3.2,1,0,1,1,0,0,0,0,1.1,1.1,0.0,1.2,2,1,6,0.32,0.0,0.32,0.32,0.32,0.36,0.01,0.37,0.36,0.37,standard,ENG,FW,16.0,2003.0,3.2,24,36,66.7,271,32,12,17,70.6,4,6,66.7,1,2,0,0.0,0.1,0.0,1,2,0,0,1,passing,ENG,FW,16.0,2003.0,1,4,2,1.27,0.63,0,0,0,1.1,1.1,-0.1,-0.1,shooting,ENG,FW,16.0,2003.0,73,1,8,31,34,5,73,4,2,2,33,137,51,2,1,1,8,5,39,6,possession,ENG,FW,16.0,2003.0,6,2,1,3,2,3,7,4,6,1,5,1,7,0,0,defense,ENG,FW,16.0,2003.0,0,0,0,6,4,1,1,1,2,0,0,0,15,5,21,misc
ENG-Premier League,2020,Wolves,Daniel Podence,POR,"MF,FW",24.0,1995.0,24,22,1661,18.5,3,2,5,3,0,0,3,0,2.5,2.5,1.7,4.2,47,72,117,0.16,0.11,0.27,0.16,0.27,0.13,0.09,0.23,0.13,0.23,standard,POR,"MF,FW",24.0,1995.0,18.5,483,643,75.1,7867,2039,269,316,85.1,129,180,71.7,59,84,2,1.7,1.7,0.3,21,47,20,5,72,passing,POR,"MF,FW",24.0,1995.0,3,32,14,1.73,0.76,0,0,0,2.5,2.5,0.5,0.5,shooting,POR,"MF,FW",24.0,1995.0,803,11,90,366,362,56,803,64,38,26,557,3059,1558,47,31,18,35,24,621,117,possession,POR,"MF,FW",24.0,1995.0,12,6,5,5,2,2,19,17,5,1,4,13,25,2,0,defense,POR,"MF,FW",24.0,1995.0,3,0,0,14,27,4,32,13,6,0,0,0,81,7,15,misc
ENG-Premier League,2020,Fulham,Ruben Loftus-Cheek,ENG,"MF,FW",24.0,1996.0,30,21,1909,21.2,1,0,1,1,0,0,3,0,3.4,3.4,1.2,4.6,57,82,97,0.05,0.0,0.05,0.05,0.05,0.16,0.06,0.22,0.16,0.22,standard,ENG,"MF,FW",24.0,1996.0,21.2,578,722,80.1,8146,1920,333,388,85.8,195,230,84.8,21,31,0,1.2,1.1,-1.2,17,57,13,2,82,passing,ENG,"MF,FW",24.0,1996.0,1,35,8,1.65,0.38,0,0,0,3.4,3.4,-2.4,-2.4,shooting,ENG,"MF,FW",24.0,1996.0,1000,20,115,544,362,67,1000,72,38,34,647,4067,2221,57,42,14,73,41,752,97,possession,ENG,"MF,FW",24.0,1996.0,25,14,7,15,3,7,23,16,20,2,18,7,32,18,0,defense,ENG,"MF,FW",24.0,1996.0,3,0,0,28,51,3,9,7,14,1,0,0,100,44,74,misc
ENG-Premier League,2020,Arsenal,Dani Ceballos,ESP,MF,23.0,1996.0,25,17,1615,17.9,0,3,3,0,0,0,4,0,0.6,0.6,2.6,3.3,54,150,52,0.0,0.17,0.17,0.0,0.17,0.04,0.15,0.18,0.04,0.18,standard,ESP,MF,23.0,1996.0,17.9,1126,1310,86.0,19849,5172,504,559,90.2,476,521,91.4,118,165,3,2.6,2.1,0.4,27,125,18,4,150,passing,ESP,MF,23.0,1996.0,0,13,2,0.72,0.11,1,0,0,0.6,0.6,-0.6,-0.6,shooting,ESP,MF,23.0,1996.0,1482,61,320,845,331,23,1482,38,26,12,964,6293,3308,54,49,3,23,15,1090,52,possession,ESP,MF,23.0,1996.0,37,22,20,11,6,21,51,30,23,6,17,35,72,14,1,defense,ESP,MF,23.0,1996.0,4,0,0,23,24,0,29,35,22,0,0,0,136,8,13,misc
ENG-Premier League,2020,Leicester City,Daniel Amartey,GHA,DF,25.0,1994.0,12,8,722,8.0,1,0,1,1,0,0,3,0,0.4,0.4,0.0,0.4,4,24,0,0.12,0.0,0.12,0.12,0.12,0.05,0.0,0.05,0.05,0.05,standard,GHA,DF,25.0,1994.0,8.0,414,493,84.0,7047,2296,178,195,91.3,203,233,87.1,26,43,0,0.0,0.1,0.0,0,15,2,0,24,passing,GHA,DF,25.0,1994.0,1,3,1,0.37,0.12,0,0,0,0.4,0.4,0.6,0.6,shooting,GHA,DF,25.0,1994.0,572,61,286,256,33,6,572,3,1,2,301,1291,682,4,4,0,5,3,344,0,possession,GHA,DF,25.0,1994.0,11,7,6,4,1,8,12,4,8,4,4,12,23,26,0,defense,GHA,DF,25.0,1994.0,3,0,0,3,1,0,1,12,7,0,0,0,60,19,16,misc
ENG-Premier League,2020,Brighton,Danny Welbeck,ENG,FW,29.0,1990.0,24,17,1545,17.2,6,1,7,6,0,1,0,0,6.6,5.8,2.8,8.7,21,25,98,0.35,0.06,0.41,0.35,0.41,0.39,0.16,0.55,0.34,0.5,standard,ENG,FW,29.0,1990.0,17.2,209,262,79.8,2565,548,142,163,87.1,44,52,84.6,5,9,1,2.8,1.4,-1.8,22,13,5,0,25,passing,ENG,FW,29.0,1990.0,6,34,15,1.98,0.87,0,0,1,6.6,5.8,-0.6,0.2,shooting,ENG,FW,29.0,1990.0,447,16,44,154,256,84,446,33,18,14,248,1441,716,21,11,10,51,13,312,98,possession,ENG,FW,29.0,1990.0,12,6,2,6,4,7,19,12,17,0,17,7,19,13,0,defense,ENG,FW,29.0,1990.0,0,0,0,19,17,5,3,7,6,2,0,0,31,21,43,misc
ENG-Premier League,2020,West Brom,Dara O'Shea,IRL,DF,21.0,1999.0,28,25,2102,23.4,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,7,62,12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,standard,IRL,DF,21.0,1999.0,23.4,583,924,63.1,12060,6392,217,282,77.0,244,336,72.6,105,250,0,0.2,0.2,-0.2,5,76,4,0,62,passing,IRL,DF,21.0,1999.0,0,3,0,0.13,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,IRL,DF,21.0,1999.0,1182,143,572,508,106,12,1182,9,5,4,448,2022,921,7,9,0,10,4,542,12,possession,IRL,DF,21.0,1999.0,45,25,30,13,2,21,45,24,32,17,15,45,90,108,0,defense,IRL,DF,21.0,1999.0,3,0,0,13,17,0,11,45,25,0,1,0,101,70,42,misc
